wav,label
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-326__source_drama__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-541__source_movie__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-275__source_drama__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-384__source_drama__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000615.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1014_DFA_ANG_XX.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-644__source_movie__1__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000564.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0016_000407.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-408__source_movie__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-548__source_movie__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-02-22.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000566.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-567__source_movie__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-597__source_movie__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-481__source_movie__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-569__source_movie__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1085_IOM_ANG_XX.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-472__source_movie__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-146__source_drama__1__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_book_angry.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_luck_angry.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0015_000564.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-713__source_movie__1__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1009_IOM_ANG_XX.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0013_000586.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-4__source_drama__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-273__source_drama__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-292__source_drama__0__angry_media.wav,train
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000686.wav,train
