wav,label
/data/datasets/AngryMedia/Female/angry_media-205__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-160__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-286__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-89__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-167__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-484__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-505__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-245__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-293__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-141__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-645__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-726__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-537__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-188__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-68__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-131__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-551__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-58__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-282__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-718__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-132__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-328__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-247__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-470__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-35__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-343__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-72__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-630__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-92__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-628__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-678__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-430__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-120__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-571__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-567__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-133__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-728__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-217__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-719__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-624__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-435__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-97__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-48__source_drama__0__angry_media.wav,Female
