wav,label,Cluster_0,Cluster_1,Cluster_2,Projection
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-326__source_drama__0__angry_media.wav,train,0,0,0,"[-3.4147746253004416, 1.123415429291852]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-541__source_movie__0__angry_media.wav,train,1,1,0,"[-6.082373594201898, 4.384396530116368]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-275__source_drama__0__angry_media.wav,train,2,2,1,"[11.11007936737993, -4.663285814020669]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-384__source_drama__0__angry_media.wav,train,3,3,0,"[-5.129685175363451, 4.146998643337301]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000615.wav,train,4,2,1,"[11.046008427078144, -4.491430309692247]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1014_DFA_ANG_XX.wav,train,5,4,2,"[5.17269743409377, 0.4192128120768311]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-644__source_movie__1__angry_media.wav,train,6,5,3,"[-17.960516321105754, -13.725760793991714]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000564.wav,train,2,2,1,"[11.1126483942829, -4.663382166001353]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0016_000407.wav,train,7,2,1,"[11.25220117464723, -5.038701682771377]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-408__source_movie__0__angry_media.wav,train,8,6,3,"[-20.918230780376533, -5.565828652459003]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-548__source_movie__0__angry_media.wav,train,9,1,0,"[-6.189998270969082, 4.363526077810912]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-02-22.wav,train,10,7,1,"[13.573340555677701, -6.680811436778911]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000566.wav,train,2,2,1,"[11.113076452613734, -4.664966667741727]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-567__source_movie__0__angry_media.wav,train,11,1,0,"[-5.9053581205494465, 4.109209036536266]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-597__source_movie__0__angry_media.wav,train,12,8,3,"[-10.450814228086296, -1.5154113105157443]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-481__source_movie__0__angry_media.wav,train,13,3,0,"[-4.462643503398885, 4.513578982222266]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-569__source_movie__0__angry_media.wav,train,14,0,0,"[-4.5694907212635805, 1.047548554052833]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1085_IOM_ANG_XX.wav,train,15,4,2,"[4.2969140026036845, 0.6318036602930269]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-472__source_movie__0__angry_media.wav,train,16,8,3,"[-10.294953839929635, -2.9501469694588547]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-146__source_drama__1__angry_media.wav,train,17,0,0,"[-3.1291657447963335, 2.035582954112429]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_book_angry.wav,train,18,9,1,"[11.586523110781842, -4.125067099465492]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_luck_angry.wav,train,19,9,1,"[11.595638219751885, -3.7889702519995323]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0015_000564.wav,train,20,2,1,"[11.235928012353938, -4.818640521079947]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-713__source_movie__1__angry_media.wav,train,21,1,0,"[-6.013681416098508, 4.390136950905589]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1009_IOM_ANG_XX.wav,train,22,4,2,"[6.073181907676759, -1.1861809483582577]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0013_000586.wav,train,23,9,1,"[11.995767906291261, -4.071183375026938]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-4__source_drama__0__angry_media.wav,train,24,1,0,"[-6.001785033846435, 4.011042636886001]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-273__source_drama__0__angry_media.wav,train,25,3,0,"[-4.505028881357768, 4.843967988059219]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-292__source_drama__0__angry_media.wav,train,21,1,0,"[-6.001641698452448, 4.403205028796509]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000686.wav,train,2,2,1,"[11.112879955900013, -4.664430673588663]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-604__source_movie__0__angry_media.wav,train,21,1,0,"[-6.010359542774794, 4.383502372819605]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-637__source_movie__0__angry_media.wav,train,26,6,3,"[-21.355908966196733, -5.251974614163453]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-584__source_movie__0__angry_media.wav,train,13,3,0,"[-4.486754084562338, 4.497493462649102]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-142__source_drama__0__angry_media.wav,train,27,1,0,"[-5.753486058236621, 4.078673550238122]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-02-11.wav,train,28,7,1,"[13.763029274652581, -6.7767093077585185]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-572__source_movie__0__angry_media.wav,train,13,3,0,"[-4.532254731901205, 4.538835622200957]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_room_angry.wav,train,29,10,1,"[8.34367837422162, -2.2069185208124416]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-330__source_drama__0__angry_media.wav,train,30,0,0,"[-3.6729370557503316, 1.8141107337419484]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-01-01-02-23.wav,train,31,7,1,"[13.712662806447774, -5.865540890720314]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1034_IEO_ANG_HI.wav,train,22,4,2,"[6.055727722505474, -1.2580028928893188]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-01-13.wav,train,32,7,1,"[13.590507589115212, -7.195808190135066]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-413__source_movie__0__angry_media.wav,train,16,8,3,"[-9.225666321505646, -3.046989123392691]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_hate_angry.wav,train,33,10,1,"[8.508582659158172, -2.249696295402934]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1014_IEO_ANG_HI.wav,train,34,4,2,"[6.340052510274982, -0.868388360824072]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000599.wav,train,4,2,1,"[11.041715153160528, -4.452179906057126]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-163__source_drama__0__angry_media.wav,train,35,3,0,"[-4.60414109256605, 5.053646838444567]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-461__source_movie__0__angry_media.wav,train,36,6,3,"[-21.318944434873085, -5.420868968640783]"
